timestamp,Store_ID,item_name,Sales_Quantity,Stock_Level,Restock_Quantity,Waste_Quantity,Peak_Hour_Flag
10/3/2024 0:00,McD001,Fries,5,74,43,0,1
10/3/2024 0:00,McD001,Soda,12,94,38,2,1
10/3/2024 0:00,McD001,Salad,13,65,12,3,1
10/3/2024 0:00,McD001,Burger,10,66,41,1,0
10/3/2024 0:00,McD001,Nuggets,18,42,50,3,1
10/3/2024 0:00,McD002,Fries,13,71,33,5,0
10/3/2024 0:00,McD002,Soda,6,22,18,5,0
10/3/2024 0:00,McD002,Salad,17,89,34,5,1
10/3/2024 0:00,McD002,Burger,20,27,40,3,0
10/3/2024 0:00,McD002,Nuggets,5,37,22,4,1
10/3/2024 0:00,McD003,Fries,6,84,27,2,0
10/3/2024 0:00,McD003,Soda,14,83,39,4,1
10/3/2024 0:00,McD003,Salad,12,26,18,0,1
10/3/2024 0:00,McD003,Burger,6,78,33,0,0
10/3/2024 0:00,McD003,Nuggets,6,79,32,4,1
10/3/2024 1:00,McD001,Fries,5,87,37,3,0
10/3/2024 1:00,McD001,Soda,19,81,22,3,1
10/3/2024 1:00,McD001,Salad,9,98,13,0,0
10/3/2024 1:00,McD001,Burger,7,27,11,2,0
10/3/2024 1:00,McD001,Nuggets,18,56,44,5,1
10/3/2024 1:00,McD002,Fries,16,60,11,4,1
10/3/2024 1:00,McD002,Soda,6,77,23,0,1
10/3/2024 1:00,McD002,Salad,11,63,13,2,0
10/3/2024 1:00,McD002,Burger,12,67,25,0,0
10/3/2024 1:00,McD002,Nuggets,17,90,34,4,0
10/3/2024 1:00,McD003,Fries,7,90,14,5,1
10/3/2024 1:00,McD003,Soda,8,83,10,4,0
10/3/2024 1:00,McD003,Salad,16,97,44,4,1
10/3/2024 1:00,McD003,Burger,7,39,36,3,1
10/3/2024 1:00,McD003,Nuggets,9,66,29,5,1
10/3/2024 2:00,McD001,Fries,20,37,23,3,0
10/3/2024 2:00,McD001,Soda,12,67,16,5,1
10/3/2024 2:00,McD001,Salad,7,32,24,4,0
10/3/2024 2:00,McD001,Burger,11,80,20,4,1
10/3/2024 2:00,McD001,Nuggets,15,61,19,5,0
